Статус,Количество
PA,18
IA,17
IF,48
SP,1
SA,22
S,38
I,4
P,2
SF,267
PS,3
PF,16
SD,33
PD,1
ID,2
PW,8
IS,6
IW,11
SR,110
SW,47
SS,15
IR,12
PR,4
None,1
Total,686
